"sku";"regular_price";"sale_price"
"1-0902105";75000;63025
"1-0506014";130000;109243
"4-1417062";95000;79831
"1-0102007";55000;46218
"1-0104006";75000;63025
"1-0105008";55000;46218
"4-0717054";110000;92437
"4-1417063";95000;79831
"4-0717055";95000;79831
"4-0717056";95000;79831
"4-1609092";35000;29411
"4-1317053";120000;100840
"4-1317064";45000;37815
"4-1317065";45000;37815
"4-1317109";45000;37815
"4-1312032";120000;100840
"2-09150108";240000;201680
"2-090911";110000;92437
"4-1317123";80000;67226
"4-1317124";80000;67226
"7-0911116";170000;142857
"7-0911117";140000;117647
"7-0914118";160000;134453
"7-0711120";45000;37815
"7-04311113";65000;54621
"7-0711119";70000;58823
"7-0111114";70000;58823
"7-0920122";165000;124789
"2-09150109";80000;67226
"2-0909043";240000;201680
"2-0910045";240000;201680
"2-0910046";240000;201680
"2-0919121";240000;201680
"2-0914097";290000;243697
"2-1717035";90000;75630
"2-0709039";49000;41176
"2-0715108";80000;67226
"2-0709041";75000;63025
"2-0711038";75000;63025
"2-1117034";180000;151260
"2-0809042";59000;49579
"4-0817061";79000;66386
"2-0209030";150000;126050
"1-0413111";58000;48739
"1-0407104";55000;46218
"1-0302002";55000;46218
"1-0203003";55000;46218
"1-0204005";75000;63025
"1-0107112";60000;50420
"1-0602015";35000;29411
"2-1009037";295000;247899
"1-0506013";130000;109243
"2-0211091";160000;134453
"1-2218141";80000;67226
"1-2218142";80000;67226
"2-0209030-1";40000;33613
"1-0401019";45000;37815
"1-1907114";75000;63025
"1-1905161";65000;54621
"1-0104162";90000;75630
"1-1907114-1";95000;79831
"7-0219009";90000;75630
"7-0121011";75000;63025
"7-0121143";75000;63025
"1-1905161-1";130000;109243
"4-1317057";135000;113445
"7-0711119-1";40000;33613
"7-0711119-1-1";45000;37815
"4-1317064-1";125000;105042
"4-1417165-11-0";65000;54621
"4-1609092-1";40000;33613
"4-1609092-1-1";60000;50420
"4-2712173-11-0";50000;42016
"2-1009037-1";130000;109243
"2-1009037-1-1";130000;109243
"7-2321010-11";150000;126050
"7-0121143-1";75000;63025
"7-2221144-11";85000;71428
"7-0121156-11";75000;63025
